TransMorph_ssim_1_diffusion_1
,SSIM,det
p75,0.895083487033844,0.00830078125
p76,0.9101413488388062,0.007965087890625
p77,0.9014489054679871,0.0108489990234375
p78,0.92289137840271,0.0063934326171875
p79,0.9237843751907349,0.0068511962890625
p80,0.9095211625099182,0.01190185546875
p81,0.903126060962677,0.00787353515625
p82,0.9010941386222839,0.009490966796875
p83,0.9086247086524963,0.00616455078125
p84,0.9092258214950562,0.009490966796875
p85,0.9031181931495667,0.01007080078125
p86,0.8874083757400513,0.0076141357421875
p87,0.889947772026062,0.01177978515625
p88,0.9051225185394287,0.00860595703125
p89,0.9009644985198975,0.0088958740234375
p90,0.9087288975715637,0.006622314453125
p91,0.9041282534599304,0.0026092529296875
p92,0.8906323313713074,0.0146942138671875
p93,0.8929775357246399,0.006805419921875
p94,0.9178615808486938,0.0088958740234375
p95,0.9155825972557068,0.00909423828125
p96,0.9045487642288208,0.0070953369140625
p97,0.909298837184906,0.0048065185546875
p98,0.9176347255706787,0.0114593505859375
p99,0.9159513115882874,0.008880615234375
p100,0.9119626879692078,0.00970458984375
p101,0.9082348942756653,0.0064239501953125
p102,0.9207996726036072,0.0072784423828125
p103,0.9136313796043396,0.0040435791015625
p104,0.9144893884658813,0.008453369140625
p105,0.9131705164909363,0.00469970703125
p106,0.9123013019561768,0.016326904296875
p107,0.9087080955505371,0.0040435791015625
p108,0.9271955490112305,0.01495361328125
p109,0.9243063926696777,0.0034027099609375
p110,0.8984839916229248,0.008209228515625
p111,0.9042268991470337,0.0094451904296875
p112,0.9156720638275146,0.005340576171875
p113,0.914267897605896,0.0106048583984375
p114,0.8945233821868896,0.0121307373046875
p115,0.8959394693374634,0.0087738037109375
p116,0.9149149060249329,0.010498046875
p117,0.905723512172699,0.0050048828125
p118,0.895982027053833,0.00634765625
p119,0.9040166139602661,0.010009765625
p120,0.9066029787063599,0.0076751708984375
p121,0.9038891196250916,0.0059661865234375
p122,0.8900451064109802,0.009307861328125
p123,0.8929352164268494,0.007232666015625
p124,0.8952751755714417,0.011627197265625
p125,0.8983120918273926,0.0070953369140625
p126,0.9173528552055359,0.0091094970703125
p127,0.9134905338287354,0.0063629150390625
p128,0.9121392965316772,0.0100555419921875
p129,0.9116019606590271,0.013427734375
p130,0.9064583778381348,0.0081024169921875
p131,0.9056740999221802,0.0121917724609375
p132,0.8933419585227966,0.015289306640625
p133,0.8898795247077942,0.004119873046875
p134,0.8946822881698608,0.0103302001953125
p135,0.8984882831573486,0.0029449462890625
p136,0.8691648244857788,0.0131072998046875
