TransMorph_ssim_1_diffusion_1
,SSIM,det
p88,0.5954208374023438,0.0
p89,0.5955207943916321,0.0
p90,0.6359226107597351,0.0
p91,0.6345706582069397,0.0
p92,0.5497543811798096,0.0
p93,0.5501930117607117,0.0
p94,0.6439266800880432,0.0
p95,0.6422927975654602,0.0
p96,0.6313442587852478,0.0
p97,0.6308207511901855,0.0
p98,0.6223900318145752,0.0
p99,0.6234584450721741,0.0
p100,0.6432954668998718,0.0
p101,0.6443555355072021,0.0
p102,0.6294059753417969,0.0
p103,0.6289241909980774,0.0
p104,0.6533709764480591,0.0
p105,0.652934193611145,0.0
p106,0.6050752401351929,0.0
p107,0.6055779457092285,0.0
p108,0.6127148270606995,0.0
p109,0.610413670539856,0.0
p110,0.6205790638923645,0.0
p111,0.6191579103469849,0.0
p112,0.6261996626853943,0.0
p113,0.6265989542007446,0.0
p114,0.5683198571205139,0.0
p115,0.5688937306404114,0.0
p116,0.6319007873535156,0.0
p117,0.6331776976585388,0.0
p118,0.6287990808486938,0.0
p119,0.6287268996238708,0.0
p120,0.5996318459510803,0.0
p121,0.5981566309928894,0.0
p122,0.5946630239486694,0.0
p123,0.5965692400932312,0.0
p124,0.5686220526695251,0.0
p125,0.5695556402206421,0.0
p126,0.6393749713897705,0.0
p127,0.6375272870063782,0.0
p128,0.6338268518447876,0.0
p129,0.6330803632736206,0.0
p130,0.6096071600914001,0.0
p131,0.6082882285118103,0.0
p132,0.5689228773117065,0.0
p133,0.5701673626899719,0.0
p134,0.58106929063797,0.0
p135,0.5836050510406494,0.0
p136,0.5676104426383972,0.0
p137,0.5690341591835022,0.0
p138,0.5730012059211731,0.0
p139,0.574154794216156,0.0
p140,0.6263100504875183,0.0
p141,0.627864420413971,0.0
p142,0.5720402002334595,0.0
p143,0.5707210898399353,0.0
p144,0.591015100479126,0.0
p145,0.593084990978241,0.0
p146,0.5712963342666626,0.0
p147,0.569146990776062,0.0
p148,0.658381998538971,0.0
p149,0.6598135828971863,0.0
p150,0.6121641993522644,0.0
p151,0.6074107885360718,0.0
p152,0.6496727466583252,0.0
p153,0.6458733677864075,0.0
p154,0.5786406993865967,0.0
p155,0.5802003741264343,0.0
p156,0.6308221817016602,0.0
p157,0.6298519968986511,0.0
p158,0.6230353713035583,0.0
p159,0.6256640553474426,0.0
p160,0.5811977386474609,0.0
p161,0.5803783535957336,0.0
p162,0.6002222299575806,0.0
p163,0.5983846187591553,0.0
p164,0.6401305198669434,0.0
p165,0.6402677893638611,0.0
p166,0.6465199589729309,0.0
p167,0.6462938189506531,0.0
p168,0.6211728453636169,0.0
p169,0.6212722659111023,0.0
p170,0.6304169297218323,0.0
p171,0.6318210363388062,0.0
p172,0.5750383138656616,0.0
p173,0.5767926573753357,0.0
p174,0.6382104754447937,0.0
p175,0.6369220614433289,0.0
p176,0.6361435651779175,0.0
p177,0.6337900161743164,0.0
p178,0.611083447933197,0.0
p179,0.6082928776741028,0.0
p180,0.6824400424957275,0.0
p181,0.682563304901123,0.0
p182,0.6515379548072815,0.0
p183,0.6512599587440491,0.0
p184,0.5615957975387573,0.0
p185,0.563143253326416,0.0
p186,0.5921319723129272,0.0
p187,0.5911558270454407,0.0
p188,0.5634491443634033,0.0
p189,0.5642856359481812,0.0
p190,0.6412392258644104,0.0
p191,0.6401292085647583,0.0
p192,0.5985558032989502,0.0
p193,0.5996798276901245,0.0
p194,0.6499666571617126,0.0
p195,0.6496502757072449,0.0
p196,0.5621113777160645,0.0
p197,0.5621740221977234,0.0
p198,0.5841664671897888,0.0
p199,0.5833667516708374,0.0
p200,0.5872551798820496,0.0
p201,0.5874695181846619,0.0
p202,0.5826582312583923,0.0
p203,0.583780825138092,0.0
p204,0.6156510710716248,0.0
p205,0.6172690987586975,0.0
p206,0.5888363122940063,0.0
p207,0.5903486013412476,0.0
p208,0.6401052474975586,0.0
p209,0.6404190063476562,0.0
p210,0.6004930138587952,0.0
p211,0.6041008234024048,0.0
p212,0.6188849806785583,0.0
p213,0.6161676049232483,0.0
p214,0.6193587779998779,0.0
p215,0.6176673173904419,0.0
p216,0.6356756091117859,0.0
p217,0.6344848275184631,0.0
p218,0.5743181109428406,0.0
p219,0.57671058177948,0.0
p220,0.6292434334754944,0.0
p221,0.6302387714385986,0.0
p222,0.6469082832336426,0.0
p223,0.6479875445365906,0.0
p224,0.647938072681427,0.0
p225,0.6481277346611023,0.0
p226,0.6063740253448486,0.0
p227,0.6051433682441711,0.0
p228,0.597658097743988,0.0
p229,0.5979663133621216,0.0
p230,0.6202404499053955,0.0
p231,0.6191179156303406,0.0
p232,0.6306125521659851,0.0
p233,0.6302095055580139,0.0
p234,0.6179361343383789,0.0
p235,0.6164787411689758,0.0
p236,0.5807067155838013,0.0
p237,0.5801369547843933,0.0
p238,0.6191900372505188,0.0
p239,0.6188991665840149,0.0
p240,0.6501267552375793,0.0
p241,0.6520254611968994,0.0
p242,0.6272587180137634,0.0
p243,0.6277896761894226,0.0
p244,0.6193236708641052,0.0
p245,0.6191670298576355,0.0
p246,0.5957577228546143,0.0
p247,0.5955073833465576,0.0
p248,0.6390349268913269,0.0
p249,0.63738614320755,0.0
p250,0.5557839274406433,0.0
p251,0.5564376711845398,0.0
p252,0.5556191802024841,0.0
p253,0.5570549964904785,0.0
p254,0.6124197244644165,0.0
p255,0.6140509247779846,0.0
p256,0.5465577244758606,0.0
p257,0.5467617511749268,0.0
p258,0.6417650580406189,0.0
p259,0.6425219774246216,0.0
p260,0.6196677088737488,0.0
p261,0.6197335124015808,0.0
p262,0.6299644708633423,0.0
p263,0.6300409436225891,0.0
p264,0.6057360768318176,0.0
p265,0.6076960563659668,0.0
p266,0.6632409691810608,0.0
p267,0.6613554358482361,0.0
p268,0.5626182556152344,0.0
p269,0.5632767677307129,0.0
p270,0.6416168212890625,0.0
p271,0.6436821222305298,0.0
p272,0.6151173710823059,0.0
p273,0.6145992279052734,0.0
p274,0.5819913744926453,0.0
p275,0.5796382427215576,0.0
p276,0.6204254627227783,0.0
p277,0.61838698387146,0.0
p278,0.633451521396637,0.0
p279,0.6318738460540771,0.0
p280,0.6264576315879822,0.0
p281,0.6257937550544739,0.0
p282,0.6204132437705994,0.0
p283,0.6227062940597534,0.0
p284,0.6011239290237427,0.0
p285,0.6020944714546204,0.0
p286,0.6317611932754517,0.0
p287,0.632574737071991,0.0
p288,0.6322706341743469,0.0
p289,0.6312285661697388,0.0
p290,0.6140395402908325,0.0
p291,0.6145826578140259,0.0
p292,0.6025789380073547,0.0
p293,0.6040417551994324,0.0
p294,0.668027400970459,0.0
p295,0.6700063347816467,0.0
p296,0.6075979471206665,0.0
p297,0.6066240072250366,0.0
p298,0.6307507753372192,0.0
p299,0.6296403408050537,0.0
p300,0.6149711012840271,0.0
p301,0.6123049855232239,0.0
p302,0.6017063856124878,0.0
p303,0.6018121242523193,0.0
p304,0.5684530735015869,0.0
p305,0.5685967206954956,0.0
p306,0.6097330451011658,0.0
p307,0.6080464124679565,0.0
p308,0.5935678482055664,0.0
p309,0.5912160873413086,0.0
p310,0.6095616221427917,0.0
p311,0.6106390953063965,0.0
p312,0.6020689010620117,0.0
p313,0.6006355881690979,0.0
p314,0.5700204372406006,0.0
p315,0.5718989968299866,0.0
p316,0.631603479385376,0.0
p317,0.633669912815094,0.0
p318,0.6155445575714111,0.0
p319,0.6130645871162415,0.0
p320,0.6160705089569092,0.0
p321,0.6164842247962952,0.0
p322,0.5704504251480103,0.0
p323,0.5718333125114441,0.0
p324,0.6062593460083008,0.0
p325,0.6056832671165466,0.0
p326,0.609474241733551,0.0
p327,0.6077090501785278,0.0
p328,0.6016892194747925,0.0
p329,0.600898802280426,0.0
p330,0.6084133386611938,0.0
p331,0.610115110874176,0.0
p332,0.5563247799873352,0.0
p333,0.554499089717865,0.0
p334,0.6035971641540527,0.0
p335,0.6015090346336365,0.0
p336,0.5433166027069092,0.0
p337,0.5451949834823608,0.0
p338,0.5777445435523987,0.0
